Column,Missing,Missing_p,Count,Type,Distinct,Feat_type,stage,class,In use
industry_enrichment_Exhibition_and_Event_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Fashion_and_Apparel,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Financial_Technology_FinTech_,,,,,,,1.0,contact,True
industry_enrichment_Food_and_Beverage,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Furniture_Manufacturing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Gambling_and_Betting_Activities,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Gaming,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Government_and_Public_Administration,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Graphic_Design_Artist_s_industry_can_be_aligned_with_various_sectors_but_without_specific_context_the_most_applicable_general_industry_would_be_Marketing_and_Advertising,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Healthcare_and_Medical_Devices,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Healthcare_and_Pharmaceuticals,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Hospitality_and_Tourism,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Human_Resources_and_Staffing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_I_m_sorry_but_the_information_provided_does_not_give_enough_context_or_specific_details_to_determine_the_industry_accurately_Could_you_please_provide_more_specific_details_about_the_job_responsibilities_or_the_sector_they_worked_in_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_IT,,,,,,,1.0,contact,True
industry_enrichment_Information_Technology_IT_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Insurance,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Interior_Design,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_International_Trade_and_Development,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Internet_of_Things_IoT_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_It_s_not_possible_to_determine_the_industry_from_the_given_job_experience_as_titolare_simply_means_owner_or_holder_in_Italian_and_does_not_specify_the_industry_But_generally_if_no_further_information_is_provided_I_cannot_confidently_assign_one_of_the_industry_labels_listed_,,,,,,,1.0,contact,True
industry_enrichment_Language_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Legal_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Luxury_Goods,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Manufacturing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Marine_and_Boat_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Maritime,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Maritime_and_Naval,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Marketing_and_Advertising,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Media_and_Advertising,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Media_and_Entertainment,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Mining_and_Metals,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Nanotechnology,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_No_industry_label_can_be_inferred_from_Disoccupato_inDissocupata_as_it_translates_to_Unemployed_in_English_which_is_not_associated_with_a_specific_industry_from_the_provided_list_,,,,,,,1.0,contact,True
industry_enrichment_Nonprofit_and_Philanthropy,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Oil_and_Gas,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Packaging,,,,,,,1.0,contact,True
industry_enrichment_Packaging_and_Container_Manufacturing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Packaging_and_Containers,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Paper_and_Forest_Products,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Pharmaceuticals_and_Biomedical_Research,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Photography,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Printing,,,,,,,1.0,contact,True
industry_enrichment_Printing_and_Imaging,,,,,,,1.0,contact,True
industry_enrichment_Printing_and_Publishing,,,,,,,1.0,contact,True
industry_enrichment_Publishing,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Publishing_and_Journalism,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Publishing_is_not_an_available_option_based_on_the_labels_you_provided_The_company_Press_di_typically_suggests_a_specialization_in_Press_and_Distribution_Given_the_options_the_most_closely_related_industry_to_this_context_is_Entertainment_and_Media_Please_confirm_if_this_aligns_with_the_industry_categories_list_,,,,,,,1.0,contact,True
industry_enrichment_Real_Estate,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Real_Estate_Photography,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Real_Estate_and_Construction,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Renewable_Energy,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Research_and_Development,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Retail,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Security_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Security_and_Facilities_Management,,,,,,,1.0,contact,True
industry_enrichment_Security_and_Surveillance,,,,,,,1.0,contact,True
industry_enrichment_Semiconductor,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Semiconductors,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Shipbuilding,,,,,,,1.0,contact,True
industry_enrichment_Social_Media,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Social_Services,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Space_Exploration,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Sports_and_Recreation,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Telecommunications,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Textiles_and_Apparel,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Tobacco,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Tourism_and_Hospitality,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Toys_and_Games,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Translation_and_Localization,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Transportation_and_Logistics,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Travel_Photography,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Travel_and_Tourism,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Utilities_Water_Electricity_Gas_,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Venture_Capital_and_Private_Equity,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_enrichment_Wellness_and_Fitness,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
location__NA_,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location__austria,,,,,,,3.0,contact,True
location__belgium,,,,,,,3.0,contact,True
location__czechia,,,,,,,3.0,contact,True
location__denmark,,,,,,,3.0,contact,True
location__france,,,,,,,3.0,contact,True
location__germany,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location__iran_islamic_republic_of,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location__ireland,,,,,,,3.0,contact,True
location__israel,,,,,,,3.0,contact,True
location__italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location__luxembourg,,,,,,,3.0,contact,True
location__morocco,,,,,,,3.0,contact,True
location__netherlands,,,,,,,3.0,contact,True
location__san_marino,,,,,,,3.0,contact,True
location__singapore,,,,,,,3.0,contact,True
location__spain,,,,,,,3.0,contact,True
location__switzerland,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_abruzzi_italy,,,,,,,3.0,contact,True
location_abruzzo_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_abruzzo_switzerland,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_basilicata_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_calabria_brazil,,,,,,,3.0,contact,True
location_calabria_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_campania_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_campania_romania,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_catalonia_spain,,,,,,,3.0,contact,True
location_emilia_romagna_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_emilia_romagna_san_marino,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_emiliaromagna_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_albania,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_bolivia_plurinational_state_of,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_brazil,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_cameroon,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_canada,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_colombia,,,,,,,3.0,contact,True
location_estero_ecuador,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_germany,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_italy,,,,,,,3.0,contact,True
location_estero_mexico,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_portugal,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_san_marino,,,,,,,3.0,contact,True
location_estero_slovakia,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_switzerland,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_estero_united_kingdom,,,,,,,3.0,contact,True
location_estero_united_states,,,,,,,3.0,contact,True
location_estero_uruguay,,,,,,,3.0,contact,True
location_friuli_venezia_giulia_colombia,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_friuli_venezia_giulia_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_friuli_venezia_giulia_jamaica,,,,,,,3.0,contact,True
location_friuli_venezia_giulia_spain,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_latium_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_latium_spain,,,,,,,3.0,contact,True
location_lazio_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lazio_moldova_republic_of,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lazio_romania,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_liguria_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_liguria_monaco,,,,,,,3.0,contact,True
location_lombardia_brazil,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lombardia_colombia,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lombardia_ecuador,,,,,,,3.0,contact,True
location_lombardia_france,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lombardia_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lombardia_romania,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lombardia_switzerland,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_lombardia_united_kingdom,,,,,,,3.0,contact,True
location_lombardy_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_marche_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_molise_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_piedmont_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_piemonte_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_puglia_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_quebec_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_sardegna_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_sicilia_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_sicily_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_stockholm_county_switzerland,,,,,,,3.0,contact,True
location_toscana_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_toscana_moldova_republic_of,,,,,,,3.0,contact,True
location_trentino_alto_adige_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_trentino_alto_adige_thailand,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_tuscany_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_umbria_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_valle_d_aosta_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_vaud_italy,,,,,,,3.0,contact,True
location_veneto_italy,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
location_veneto_japan,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Environment,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Learning_Methodology,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Community,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Location,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Class_Size,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Career_Opportunities,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Post_course_Support,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Price,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Flexibility,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Language,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Other,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
reason_to_buy_short_Professors,0.0,0.0,44467.0,int64,2.0,numerical,3.0,contact,True
candidate_s_needs_Basics_of_career_development,0.0,0.0,44467.0,int64,2.0,numerical,2.0,contact,True
candidate_s_needs_Acquisition_of_new_skills,0.0,0.0,44467.0,int64,2.0,numerical,2.0,contact,True
candidate_s_needs_Change_within_the_same_professional_field,0.0,0.0,44467.0,int64,2.0,numerical,2.0,contact,True
candidate_s_needs_Other,0.0,0.0,44467.0,int64,2.0,numerical,2.0,contact,True
candidate_s_needs_Change_of_professional_field,0.0,0.0,44467.0,int64,2.0,numerical,2.0,contact,True
candidate_s_needs_Networking,0.0,0.0,44467.0,int64,2.0,numerical,2.0,contact,True
candidate_s_needs_Skill_structuring,0.0,0.0,44467.0,int64,2.0,numerical,2.0,contact,True
source_of_awareness_playbook_tiktok,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_word_of_mouth,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_facebook,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_linkedin,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_instagram,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_google,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_event,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_others,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
source_of_awareness_playbook_external_partners,0.0,0.0,44467.0,int64,2.0,numerical,2.0,interaction ,True
time_since_hs_email_last_open_date,11577.0,0.26,32890.0,float64,6.0,numerical,2.0,interaction ,True
time_since_hs_email_last_click_date,26409.0,0.59,18058.0,float64,6.0,numerical,2.0,interaction ,True
time_since_hs_sales_email_last_replied,41887.0,0.94,2580.0,float64,6.0,numerical,2.0,interaction ,True
time_since_hs_sales_email_last_clicked,42129.0,0.95,2338.0,float64,6.0,numerical,2.0,interaction ,True
time_since_hs_sales_email_last_opened,40522.0,0.91,3945.0,float64,6.0,numerical,2.0,interaction ,True
time_since_hs_last_sales_activity_date,31650.0,0.71,12817.0,float64,1.0,numerical,2.0,interaction ,True
average_recency_score,0.0,0.0,44467.0,float64,27.0,numerical,1.0,interaction ,True
brand_awareness,43415.0,0.98,1052.0,category,2.0,categorical,3.0,contact,True
career_progression,0.0,0.0,44467.0,int32,2.0,numerical,2.0,contact,True
company_size_category,0.0,0.0,44467.0,int64,4.0,numerical,2.0,contact,True
dumpdate_contact_dumps,0.0,0.0,44467.0,Int64,2397.0,numerical,1.0,,True
feat_final_current_job,0.0,0.0,44467.0,category,4053.0,categorical,3.0,contact,True
feat_init_current_job,39796.0,0.89,4671.0,category,3360.0,categorical,1.0,contact,True
field_of_study_popularity,445.0,0.01,44022.0,float64,19.0,numerical,2.0,contact,True
industry_enrichment_Luxury_Goods_and_Jewelry,0.0,0.0,44467.0,float64,2.0,numerical,1.0,contact,True
industry_popularity,42250.0,0.95,2217.0,float64,7.0,numerical,2.0,contact,True
industry_popularity_all,41134.0,0.93,3333.0,float64,47.0,numerical,2.0,contact,True
location__albania,0.0,0.0,44467.0,float64,2.0,numerical,3.0,contact,True
start_date,0.0,0.0,44467.0,datetime64[ns],97.0,date,0.0,class,False
